language,root_category,k,paired_language,tree_total_final_nodes,tree_max_depth_reached,tree_nodes_target,tree_stopped_max_depth,ext_total_categories,ext_categories_with_articles,ext_categories_without_articles,ext_total_articles,ext_unique_articles,ext_has_otherwiki,ext_no_otherwiki,page_len_median,page_len_min,page_len_max,page_len_0_1000,page_len_1001_5500,page_len_5501_10000,page_len_10001_100000,page_len_100001_1000000,page_len_1000001_10000000,ext_depth_from_k_0,ext_depth_from_k_1,ext_depth_from_k_2,ext_depth_from_k_3,ext_depth_from_k_4,ext_depth_from_k_5,ext_depth_from_k_6,ext_depth_from_k_7
en,Culture,1,it,127060,104,47109,,19208,9993,9215,100575,100575,70973,29602,7336,49,521377,6444,30597,26229,36221,1084,,84534,16041,,,,,,
en,Culture,3,it,127060,104,47109,,28026,13571,14455,120003,120003,82782,37221,7311,39,521377,7307,37228,31033,43072,1363,,84534,16041,9503,9925,,,,
en,Culture,5,it,127060,104,47109,,32467,15379,17088,139691,139691,90644,49047,7299,39,521377,8439,43191,36917,49598,1546,,84534,16041,9503,9925,9049,10639,,
en,Culture,7,it,127060,104,47109,,35384,16864,18520,159415,159415,99889,59526,7431,39,521377,9993,47579,42797,57358,1688,,84534,16041,9503,9925,9049,10639,6602,13122
it,Cultura,1,en,82497,27,7924,,14233,8115,6118,170349,170349,60884,109465,5379,51,422045,2239,84649,41027,41625,809,,144830,25519,,,,,,
it,Cultura,3,en,82497,27,7924,,27884,16660,11224,222409,222409,76550,145859,5205,44,422045,3265,113555,52675,51894,1020,,144830,25519,29657,22403,,,,
it,Cultura,5,en,82497,27,7924,,36604,21665,14939,261194,261194,92867,168327,5138,42,422045,3819,134861,60626,60730,1158,,144830,25519,29657,22403,26817,11968,,
it,Cultura,7,en,82497,27,7924,,41485,24911,16574,283759,283759,104247,179512,5165,42,422045,4314,145522,64875,67752,1296,,144830,25519,29657,22403,26817,11968,11732,10833
zh,文化,1,en,311037,200,72093,12188,41572,21033,20539,270362,270362,68630,201732,2531,47,591089,59026,138038,34175,37958,1165,,203232,67130,,,,,,
zh,文化,3,en,311037,200,72093,12188,69984,32241,37743,367335,367335,88179,279156,2492,40,591089,74707,198941,44495,47796,1396,,203232,67130,51244,45729,,,,
zh,文化,5,en,311037,200,72093,12188,101586,41314,60272,420647,420647,101522,319125,2532,40,591089,83247,228247,52502,55079,1572,,203232,67130,51244,45729,29326,23986,,
zh,文化,7,en,311037,200,72093,12188,119269,46056,73213,456506,456506,116930,339576,2540,40,652696,92516,244831,57154,60271,1734,,203232,67130,51244,45729,29326,23986,16376,19483
de,Kunst_und_Kultur,1,en,284336,21,13527,,13992,10131,3861,581385,581385,135361,446024,5259,47,963021,11980,293275,158137,116052,1941,,492814,88571,,,,,,
de,Kunst_und_Kultur,3,en,284336,21,13527,,51130,32564,18566,771147,771147,166126,605021,5144,42,1356727,25458,387674,199896,155079,3039,1,492814,88571,75163,114599,,,,
de,Kunst_und_Kultur,5,en,284336,21,13527,,89803,49013,40790,862613,862613,181264,681349,5097,41,1356727,32384,433552,220749,172260,3666,2,492814,88571,75163,114599,62832,28634,,
de,Kunst_und_Kultur,7,en,284336,21,13527,,98207,51449,46758,875824,875824,184786,691038,5083,41,1356727,33570,440617,223437,174465,3733,2,492814,88571,75163,114599,62832,28634,10073,3138
